# /lscratch1/kbferre/app-traces/mutrino/cth-st/128/rank-000.txt
 delta	 tstmp
10	 1519431119915719
7	 1519431119915726
12	 1519431119915738
7	 1519431119915745
9	 1519431119915754
19	 1519431119915773
8	 1519431119915781
8	 1519431119915789
11	 1519431119915800
7	 1519431119915807
385	 1519431119916192
13	 1519431119916205
10	 1519431119916215
8	 1519431119916223
11	 1519431119916234
7	 1519431119916241
1196	 1519431119917437
13	 1519431119917450
80	 1519431119917530
140	 1519431119917670
8	 1519431119917678
8	 1519431119917686
7	 1519431119917693
11	 1519431119917704
7	 1519431119917711
8	 1519431119917719
9	 1519431119917728
8	 1519431119917736
7	 1519431119917743
11	 1519431119917754
15	 1519431119917769
21	 1519431119917790
11	 1519431119917801
9	 1519431119917810
7	 1519431119917817
12	 1519431119917829
7	 1519431119917836
129	 1519431119917965
12	 1519431119917977
20940	 1519431119938917
4319	 1519431119943236
17116	 1519431119960352
15888	 1519431119976240
15619	 1519431119991859
15404	 1519431120007263
15279	 1519431120022542
15141	 1519431120037683
14904	 1519431120052587
14633	 1519431120067220
14452	 1519431120081672
14208	 1519431120095880
13930	 1519431120109810
13683	 1519431120123493
13384	 1519431120136877
13163	 1519431120150040
12857	 1519431120162897
12653	 1519431120175550
12535	 1519431120188085
12548	 1519431120200633
12647	 1519431120213280
12617	 1519431120225897
12598	 1519431120238495
12504	 1519431120250999
12575	 1519431120263574
12571	 1519431120276145
12579	 1519431120288724
12388	 1519431120301112
12457	 1519431120313569
12475	 1519431120326044
12358	 1519431120338402
12341	 1519431120350743
12387	 1519431120363130
12320	 1519431120375450
12313	 1519431120387763
12259	 1519431120400022
12241	 1519431120412263
12230	 1519431120424493
12139	 1519431120436632
12205	 1519431120448837
12149	 1519431120460986
12051	 1519431120473037
12109	 1519431120485146
12049	 1519431120497195
12081	 1519431120509276
12280	 1519431120521556
12264	 1519431120533820
12410	 1519431120546230
12662	 1519431120558892
12697	 1519431120571589
12775	 1519431120584364
12952	 1519431120597316
13027	 1519431120610343
13266	 1519431120623609
13315	 1519431120636924
13419	 1519431120650343
13561	 1519431120663904
13690	 1519431120677594
13765	 1519431120691359
13880	 1519431120705239
14025	 1519431120719264
14210	 1519431120733474
14277	 1519431120747751
14378	 1519431120762129
14556	 1519431120776685
14552	 1519431120791237
14767	 1519431120806004
14856	 1519431120820860
15039	 1519431120835899
15152	 1519431120851051
15269	 1519431120866320
15359	 1519431120881679
15526	 1519431120897205
15547	 1519431120912752
15753	 1519431120928505
15834	 1519431120944339
15982	 1519431120960321
16117	 1519431120976438
16147	 1519431120992585
16260	 1519431121008845
16375	 1519431121025220
16487	 1519431121041707
16614	 1519431121058321
16658	 1519431121074979
16804	 1519431121091783
16913	 1519431121108696
17051	 1519431121125747
17164	 1519431121142911
17192	 1519431121160103
17354	 1519431121177457
17390	 1519431121194847
17474	 1519431121212321
17600	 1519431121229921
17596	 1519431121247517
17438	 1519431121264955
17407	 1519431121282362
17265	 1519431121299627
17133	 1519431121316760
17124	 1519431121333884
16899	 1519431121350783
16824	 1519431121367607
17500	 1519431121385107
1004	 1519431121386111
16	 1519431121386127
16	 1519431121386143
6668	 1519431121392811
1626	 1519431121394437
1966	 1519431121396403
893	 1519431121397296
15	 1519431121397311
31	 1519431121397342
12	 1519431121397354
122886	 1519431121520240
1316	 1519431121521556
14	 1519431121521570
11	 1519431121521581
11	 1519431121521592
10	 1519431121521602
10	 1519431121521612
9	 1519431121521621
11	 1519431121521632
10	 1519431121521642
9	 1519431121521651
10	 1519431121521661
10	 1519431121521671
9	 1519431121521680
11	 1519431121521691
10	 1519431121521701
10	 1519431121521711
10	 1519431121521721
10	 1519431121521731
9	 1519431121521740
10	 1519431121521750
9	 1519431121521759
20	 1519431121521779
13	 1519431121521792
12	 1519431121521804
9	 1519431121521813
9	 1519431121521822
10	 1519431121521832
9	 1519431121521841
11	 1519431121521852
9	 1519431121521861
10	 1519431121521871
9	 1519431121521880
9866	 1519431121531746
8962	 1519431121540708
131473	 1519431121672181
10901	 1519431121683082
17	 1519431121683099
12	 1519431121683111
10	 1519431121683121
10	 1519431121683131
10	 1519431121683141
9	 1519431121683150
63	 1519431121683213
14	 1519431121683227
9	 1519431121683236
9	 1519431121683245
10	 1519431121683255
9	 1519431121683264
9	 1519431121683273
11	 1519431121683284
24	 1519431121683308
12	 1519431121683320
9	 1519431121683329
9	 1519431121683338
9	 1519431121683347
10	 1519431121683357
11	 1519431121683368
9	 1519431121683377
23	 1519431121683400
11	 1519431121683411
9	 1519431121683420
9	 1519431121683429
9	 1519431121683438
11	 1519431121683449
9	 1519431121683458
10	 1519431121683468
59	 1519431121683527
14	 1519431121683541
8	 1519431121683549
10	 1519431121683559
26	 1519431121683585
11	 1519431121683596
11	 1519431121683607
9	 1519431121683616
22	 1519431121683638
11	 1519431121683649
9	 1519431121683658
11	 1519431121683669
21	 1519431121683690
11	 1519431121683701
9	 1519431121683710
9	 1519431121683719
22	 1519431121683741
10	 1519431121683751
10	 1519431121683761
922	 1519431121684683
893	 1519431121685576
9	 1519431121685585
9	 1519431121685594
9	 1519431121685603
10	 1519431121685613
11	 1519431121685624
9	 1519431121685633
